"layer","type","weight"
"alien_species","regulatory",1
"cites","regulatory",1
"fishing_v1","regulatory",2
"fishing_v2","regulatory",2
"fishing_v3","regulatory",2
"fishing_v1_eez","regulatory",2
"fishing_v2_eez","regulatory",2
"fishing_v3_eez","regulatory",2
"habitat","regulatory",1
"habitat_combo","regulatory",2
"habitat_combo_eez","regulatory",2
"li_gci","social",1
"li_sector_evenness","social",1
"mariculture","regulatory",1
"msi_gov","regulatory",2
"species_diversity","environmental",1
"species_diversity_3nm","environmental",1
"tourism","regulatory",1
"water","regulatory",1
"cwi_all","social",1
