"target","layer","title","citation.2012n","X","citation.2013a","units","gapfilling","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","dir_2012a","fn_2012a","dir_2013a","fn_2013a","ingest","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"AO","rn_ao_access","Artisanal Fishing Opportunities model variable","management effectiveness and opportunity (Mora et al 2009)","6B",,"value",,"2012a","parent",,,,,"model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv","model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv",TRUE,"ao_access.csv",,"country_id",,,"score",
"AO","rny_ao_need","Artisanal Fishing Opportunities model variable","Need: logged and rescaled per capita gross domestic product (pcGDP) adjusted by the purchasing power parity (PPP).","6B",,"value",,"new","new",,,"Y",,"model/GL-NCEAS-ArtisanalOpportunities_v2013a/data","rgn_wb_gdppcppp_rescaled_year_2012b.csv","model/GL-NCEAS-ArtisanalOpportunities_v2013a/data","rgn_wb_gdppcppp_rescaled_year_2013b.csv",TRUE,"ao_need.csv",,"country_id",,"year","score",
"pressures_CP","rnk_cp_habitat_extent_rank","Coastal Protection model and Pressures variable","habitat extent (Ak) * habitat rank (wk)","6E",,"extent_rank",,"2012a","new",,,,,"model/GL-NCEAS-Habitats_v2013a/data","cp_habitat_extent_rank.csv","model/GL-NCEAS-Habitats_v2013a/data","cp_habitat_extent_rank.csv",TRUE,"cp_habitat_extent_rank.csv","region_id",,"habitat",,"pressures.rank",
"pressures_CS","rnk_cs_habitat_extent","Carbon Storage model variable","habitat extent (Ak)","6D",,"km2",,"2012a","new",,,,,"model/GL-NCEAS-Habitats_v2013a/data","cs_habitat_extent.csv","model/GL-NCEAS-Habitats_v2013a/data","cs_habitat_extent.csv",TRUE,"cs_habitat_extent.csv","region_id",,"habitat",,"km2",
"CW","rn_cw_pesticide_trend","Chemical pollution trend","FAO pesticide trends","6I",,"trend.score",,"new","new","use coastpop to gap-fill v2013a and v2012a (NOTE: trend needs to be normalized)",,"Y",,"model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Pesticides_trend_v2012a.csv","model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Pesticides_trend_v2013a.csv",TRUE,,,,,,,
"CW","rn_cw_fertilizer_trend","Nutrients trend","FAO fertilizer trends","6I",,"trend.score",,"new","new","use coastpop to gap-fill v2013a and v2012a (NOTE: trend needs to be normalized)",,"Y",,"model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Fertilizers_trend_v2012a.csv","model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Fertilizers_trend_v2013a.csv",TRUE,,,,,,,
"CW","rn_cw_pathogen_trend","Pathogen pollution trend",,"6I",,"trend",,"new","new",,,"Y",,"model/GL-NCEAS-Pressures_v2013a/data","po_pathogens_trend_sanitation2008to2011_popninland25km2008to2013.csv","model/GL-NCEAS-Pressures_v2013a/data","po_pathogens_trend_sanitation2008to2011_popninland25km2008to2013.csv",TRUE,,,,,,,
"CW","rn_cw_coastalpopn_trend","Coastal population trend (annual)","proxy for trash trend","6I",,"trend",,"2012a","new",,,"Y",,"model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popn5yrtrend_inland25mi_2007to2012.csv","model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popn5yrtrend_inland25mi_2008to2013.csv",TRUE,,,,,,,
"FIS","rn_fis_status","fisheries status",,"6A",,"status",,,"new",,,,,"model/GL-NCEAS_FIS_v2012a","FIS_Status_2012a_lyr.csv","model/GL-NCEAS_FIS_v2013a","FIS_Status_2013a_lyr.csv",TRUE,,,,,,,
"FIS","rn_fis_trend","fisheries trend",,"6A",,"trend",,,"new",,,,,"model/GL-NCEAS_FIS_v2012a","FIS_Trend_2012a_lyr.csv","model/GL-NCEAS_FIS_v2013a","FIS_Trend_2013a_lyr.csv",TRUE,,,,,,,
"FP","rn_fp_wildcaught_weight","weighting factor","proportional yield of wild caught fisheries","6A",,"w_fis",,"2012a","new",,,,,"model/GL-NCEAS_FIS_v2012a","GL_FP_wildcaught_weight_v2012a_lyr.csv","model/GL-NCEAS_FIS_v2013a","GL_FP_wildcaught_weight_v2013a_lyr.csv",TRUE,,,,,,,
"pressures_HAB","rnk_hab_presence","Habitats model variable","habitat presence (wk)","6J",,"boolean",,"2012a","new",,,,,"model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_presence.csv","model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_presence.csv",TRUE,"hab_presence.csv","region_id",,"habitat",,"boolean",
"HAB_CS_CP","rnk_hab_extent","Habitats extent",,"6J",,"km2",,"2012a","new",,,,,"model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_extent.csv","model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_extent.csv",TRUE,,,,,,,
"HAB_CS_CP","rnk_hab_health","Habitats health condition data",,"6J",,"health",,"2012a","parent","use same methods as for CP and CS",,,,"model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_health_disaggregatedNature2012.csv","model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_health_disaggregatedNature2012.csv",TRUE,,,,,,,
"HAB_CS_CP","rnk_hab_trend","Habitats health trend",,"6J",,"trend",,"2012a","parent",,,,,"model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_trend_disaggregatedNature2012.csv","model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_trend_disaggregatedNature2012.csv",TRUE,,,,,,,
"ICO","rnk_ico_spp_extinction_status","Iconic species extinction risk category status",,"6H",,"category",,,"new",,,,,"model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_extinction_status.csv","model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_extinction_status.csv",TRUE,,,,,,,
"ICO","rnk_ico_spp_popn_trend","Iconic species population trend",,"6H",,"popn_trend",,,"new",,,,,"model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_popn_trend.csv","model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_popn_trend.csv",TRUE,,,,,,,
"LE_pressures","rnk_le_sector_weight","Coastal Livelihoods & Economies weighting for pressures","weighting by sector (defaulting to 1)","6F",,"weight",,"2012a","parent","this layer is borrowed directly from nature2012 and simply disaggregated","NA","N",,"model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv","model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv",TRUE,"le_sector_weight.csv","region_id",,"sector",,"weight",
"LSP","rny_lsp_prot_area_inland1km","Lasting Special Places model variable","coastal protected areas (inland 1km)","6H",,"area_km2",,"2012a","new",,,,,"model/GL-WDPA-MPA_v2013/data","lsp_prot_area_inland1km.csv","model/GL-WDPA-MPA_v2013/data","lsp_prot_area_inland1km.csv",TRUE,"lsp_prot_area_inland1km.csv","region_id",,,"year","km2",
"LSP","rny_lsp_prot_area_offshore3nm","Lasting Special Places model variable","coastal marine protected areas (offshore 3nm)","6H",,"area_km2",,"2012a","new",,,,,"model/GL-WDPA-MPA_v2013/data","lsp_prot_area_offshore3nmb.csv","model/GL-WDPA-MPA_v2013/data","lsp_prot_area_offshore3nmb.csv",TRUE,"lsp_prot_area_offshore3nm.csv","region_id",,,"year","km2",
"MAR","rn_mar_status","mariculture status","[KL to do and fill in]","6A",,"status",,"new","new",,,,,"model/GL-NCEAS_MAR_v2013a/data","GL_NCEAS_MAR_Status_v2012a_lyr.csv","model/GL-NCEAS_MAR_v2013a/data","GL_NCEAS_MAR_Status_v2013a_lyr.csv",TRUE,,,,,,,
"MAR","rn_mar_trend","mariculture trend","[KL to do and fill in]","6A",,"trend",,"new","new",,,,,"model/GL-NCEAS_MAR_v2013a/data","GL_NCEAS_MAR_Trend_v2012a_lyr.csv","model/GL-NCEAS_MAR_v2013a/data","GL_NCEAS_MAR_Trend_v2013a_lyr.csv",TRUE,,,,,,,
