goal,element,po_water,hd_mpa_coast,hd_mpa_eez,hd_habitat,sp_alien_species,fp_mpa_coast,fp_mpa_eez,fp_habitat,fp_mora,fp_mora_artisanal,g_tourism,g_mariculture,g_msi_gov,g_cites,species_diversity_3nm,species_diversity_eez,wgi_all,res_spi,li_gci,li_sector_evenness
AO,,,x,,x,,x,,x,x,,,,,,x,,x,x,,
CP,coral,x,x,,x,,,,,,,,,,,,,x,x,,
CP,mangrove,,x,,x,,,,,,,,,,,,,x,x,,
CP,saltmarsh,x,x,,x,,,,,,,,,,,,,x,x,,
CP,seagrass,x,x,,x,,,,,,,,,,,,,x,x,,
CP,seaice_shoreline,,,,,,,,,,,,,,,,,x,x,,
CS,mangrove,,x,,x,,,,,,,,,,,,,x,x,,
CS,saltmarsh,x,x,,x,,,,,,,,,,,,,x,x,,
CS,seagrass,x,x,,x,,,,,,,,,,,,,x,x,,
CW,,x,,,,,,,,,,,,,,,,x,x,,
ECO,,,,,,,,,,,,,,,,,,x,x,x,
FIS,,,,x,x,,,x,x,x,x,,,,,,x,x,x,,
HAB,coral,x,x,,x,,x,,x,,x,x,x,,,x,,x,x,,
HAB,mangrove,,x,,x,,,,,,,x,x,,,x,,x,x,,
HAB,saltmarsh,x,x,,x,,,,,,,x,x,,,x,,x,x,,
HAB,seagrass,x,x,,x,,,,,,,x,x,,,x,,x,x,,
HAB,seaice_edge,,,,,,,,,,,x,x,,,,x,x,x,,
HAB,soft_bottom,x,,x,x,,,x,x,x,,x,x,,,,x,x,x,,
ICO,,x,,x,x,,,x,x,x,x,,,,x,,x,x,x,,
SPP,,x,,x,x,,,x,x,x,x,x,x,,x,,,x,x,,
LIV,,,,,,,,,,,,,,,,,,x,x,x,x
LSP,,x,,,x,,,,,,,,,,,,,x,x,,
MAR,,x,,,,,,,,,,,x,x,,,,x,x,,
NP,corals,x,x,,x,,,,,,,,,,x,x,,x,x,,
NP,fish_oil,x,,x,x,,,x,x,x,,,,,x,,x,x,x,,
NP,ornamentals,x,x,,x,,x,,x,,x,,,,x,x,,x,x,,
NP,seaweeds,x,,,,,,,,,,,,,x,x,,x,x,,
NP,shells,,x,,x,,,,,,,,,,x,x,,x,x,,
NP,sponges,,x,,x,,,,,,,,,,x,x,,x,x,,
TR,,x,,,,,,,,,,,,,,,,x,x,,
