"region_id","category","value"
1,"corals",1
1,"seagrasses",1
1,"sea_ice_edge",1
1,"soft_bottom",1
2,"soft_bottom",1
3,"corals",1
3,"mangroves",1
3,"seagrasses",1
3,"soft_bottom",1
4,"corals",1
4,"mangroves",1
4,"seagrasses",1
4,"soft_bottom",1
5,"corals",1
5,"mangroves",1
5,"seagrasses",1
5,"soft_bottom",1
6,"corals",1
6,"mangroves",1
6,"seagrasses",1
6,"soft_bottom",1
7,"corals",1
7,"mangroves",1
7,"seagrasses",1
7,"soft_bottom",1
8,"corals",1
8,"soft_bottom",1
9,"corals",1
9,"seagrasses",1
9,"soft_bottom",1
10,"corals",1
10,"seagrasses",1
10,"soft_bottom",1
11,"corals",1
11,"mangroves",1
11,"seagrasses",1
11,"soft_bottom",1
12,"corals",1
12,"mangroves",1
12,"salt_marshes",1
12,"seagrasses",1
12,"soft_bottom",1
13,"corals",1
13,"mangroves",1
13,"seagrasses",1
13,"soft_bottom",1
14,"corals",1
14,"mangroves",1
14,"seagrasses",1
14,"soft_bottom",1
15,"corals",1
15,"soft_bottom",1
16,"seagrasses",1
16,"soft_bottom",1
17,"sea_ice_edge",1
17,"soft_bottom",1
18,"corals",1
18,"mangroves",1
18,"soft_bottom",1
19,"corals",1
19,"mangroves",1
19,"seagrasses",1
19,"soft_bottom",1
20,"corals",1
20,"seagrasses",1
20,"soft_bottom",1
21,"corals",1
21,"mangroves",1
21,"seagrasses",1
21,"soft_bottom",1
22,"corals",1
22,"mangroves",1
22,"soft_bottom",1
23,"corals",1
23,"seagrasses",1
23,"soft_bottom",1
24,"corals",1
24,"soft_bottom",1
25,"corals",1
25,"mangroves",1
25,"seagrasses",1
25,"soft_bottom",1
26,"corals",1
26,"mangroves",1
26,"seagrasses",1
26,"soft_bottom",1
27,"corals",1
27,"mangroves",1
27,"seagrasses",1
27,"soft_bottom",1
28,"corals",1
28,"mangroves",1
28,"seagrasses",1
28,"soft_bottom",1
29,"corals",1
29,"mangroves",1
29,"seagrasses",1
29,"soft_bottom",1
30,"corals",1
30,"mangroves",1
30,"soft_bottom",1
31,"corals",1
31,"mangroves",1
31,"seagrasses",1
31,"soft_bottom",1
32,"corals",1
32,"soft_bottom",1
33,"corals",1
33,"mangroves",1
33,"seagrasses",1
33,"soft_bottom",1
34,"corals",1
34,"soft_bottom",1
35,"corals",1
35,"mangroves",1
35,"seagrasses",1
35,"soft_bottom",1
36,"corals",1
36,"mangroves",1
36,"seagrasses",1
36,"soft_bottom",1
37,"corals",1
37,"seagrasses",1
37,"soft_bottom",1
38,"corals",1
38,"mangroves",1
38,"seagrasses",1
38,"soft_bottom",1
39,"mangroves",1
39,"soft_bottom",1
40,"corals",1
40,"mangroves",1
40,"seagrasses",1
40,"soft_bottom",1
41,"soft_bottom",1
42,"salt_marshes",1
42,"soft_bottom",1
43,"soft_bottom",1
44,"soft_bottom",1
45,"soft_bottom",1
46,"soft_bottom",1
47,"soft_bottom",1
48,"mangroves",1
48,"soft_bottom",1
49,"mangroves",1
49,"seagrasses",1
49,"soft_bottom",1
50,"soft_bottom",1
51,"seagrasses",1
51,"soft_bottom",1
52,"salt_marshes",1
52,"sea_ice_edge",1
52,"soft_bottom",1
53,"salt_marshes",1
53,"sea_ice_edge",1
53,"soft_bottom",1
54,"soft_bottom",1
55,"soft_bottom",1
56,"seagrasses",1
56,"sea_ice_edge",1
56,"soft_bottom",1
57,"soft_bottom",1
58,"seagrasses",1
58,"soft_bottom",1
59,"soft_bottom",1
60,"soft_bottom",1
61,"soft_bottom",1
62,"seagrasses",1
62,"soft_bottom",1
63,"soft_bottom",1
64,"soft_bottom",1
65,"soft_bottom",1
66,"soft_bottom",1
67,"soft_bottom",1
68,"sea_ice_edge",1
68,"soft_bottom",1
69,"mangroves",1
69,"seagrasses",1
69,"soft_bottom",1
70,"mangroves",1
70,"soft_bottom",1
71,"seagrasses",1
71,"soft_bottom",1
72,"seagrasses",1
73,"mangroves",1
73,"soft_bottom",1
74,"soft_bottom",1
75,"corals",1
75,"mangroves",1
75,"seagrasses",1
75,"soft_bottom",1
76,"soft_bottom",1
77,"mangroves",1
77,"soft_bottom",1
78,"mangroves",1
78,"seagrasses",1
78,"soft_bottom",1
79,"corals",1
79,"soft_bottom",1
